species,origin,my,cohort,J,A,SAR
Steelhead,both,2006,4,"1,743",11,0.63
Steelhead,both,2007,4,"1,429",6,0.42
Steelhead,both,2008,4,"3,273",55,1.68
Steelhead,both,2009,4,"5,138",69,1.34
Steelhead,both,2010,4,"4,901",65,1.33
Steelhead,both,2011,4,"9,165",40,0.44
Steelhead,both,2012,4,"3,716",24,0.65
Steelhead,both,2013,4,"2,686",23,0.86
Steelhead,both,2014,4,"4,271",27,0.63
Steelhead,hatchery,2006,1,NA,NA,NA
Steelhead,hatchery,2007,1,NA,NA,NA
Steelhead,hatchery,2008,1,NA,NA,NA
Steelhead,hatchery,2009,1,"1,389",17,1.22
Steelhead,hatchery,2010,1,NA,NA,NA
Steelhead,hatchery,2011,1,"4,654",13,0.28
Steelhead,hatchery,2012,1,"4,855",58,1.19
Steelhead,hatchery,2013,1,"2,197",18,0.82
Steelhead,hatchery,2014,1,"1,056",11,1.04
Steelhead,hatchery,2006,2,"1,772",27,1.52
Steelhead,hatchery,2007,2,344,7,2.03
Steelhead,hatchery,2008,2,"6,241",193,3.09
Steelhead,hatchery,2009,2,"33,543",453,1.35
Steelhead,hatchery,2010,2,"3,290",44,1.34
Steelhead,hatchery,2011,2,"11,867",78,0.66
Steelhead,hatchery,2012,2,"18,761",309,1.65
Steelhead,hatchery,2013,2,"4,922",42,0.85
Steelhead,hatchery,2014,2,"13,744",221,1.61
Steelhead,hatchery,2006,3,"3,689",37,1
Steelhead,hatchery,2007,3,"2,084",18,0.86
Steelhead,hatchery,2008,3,"6,444",154,2.39
Steelhead,hatchery,2009,3,"8,959",117,1.31
Steelhead,hatchery,2010,3,"2,972",22,0.74
Steelhead,hatchery,2011,3,"9,222",64,0.69
Steelhead,hatchery,2012,3,"4,137",43,1.04
Steelhead,hatchery,2013,3,"5,546",64,1.15
Steelhead,hatchery,2014,3,"5,623",47,0.84
Steelhead,hatchery,2006,4,"1,430",9,0.63
Steelhead,hatchery,2007,4,999,1,0.1
Steelhead,hatchery,2008,4,"2,618",41,1.57
Steelhead,hatchery,2009,4,"4,134",49,1.19
Steelhead,hatchery,2010,4,"3,864",45,1.16
Steelhead,hatchery,2011,4,"8,862",40,0.45
Steelhead,hatchery,2012,4,"2,781",17,0.61
Steelhead,hatchery,2013,4,"1,950",14,0.72
Steelhead,hatchery,2014,4,"3,334",21,0.63
Steelhead,wild,2006,1,432,3,0.69
Steelhead,wild,2007,1,NA,NA,NA
Steelhead,wild,2008,1,NA,NA,NA
Steelhead,wild,2009,1,NA,NA,NA
Steelhead,wild,2010,1,NA,NA,NA
Steelhead,wild,2011,1,409,4,0.98
Steelhead,wild,2012,1,832,21,2.52
Steelhead,wild,2013,1,453,3,0.66
Steelhead,wild,2014,1,298,2,0.67
Steelhead,wild,2006,2,625,5,0.8
Steelhead,wild,2007,2,343,2,0.58
Steelhead,wild,2008,2,493,8,1.62
Steelhead,wild,2009,2,"2,235",36,1.61
Steelhead,wild,2010,2,627,11,1.75
Steelhead,wild,2011,2,768,2,0.26
Steelhead,wild,2012,2,"3,091",82,2.65
Steelhead,wild,2013,2,NA,NA,NA
Steelhead,wild,2014,2,"1,133",22,1.94
Steelhead,wild,2006,3,697,6,0.86
Steelhead,wild,2007,3,"1,395",26,1.86
Steelhead,wild,2008,3,"1,758",68,3.87
Steelhead,wild,2009,3,862,11,1.28
Steelhead,wild,2010,3,643,10,1.56
Steelhead,wild,2011,3,"1,324",11,0.83
Steelhead,wild,2012,3,575,7,1.22
Steelhead,wild,2013,3,"1,506",20,1.33
Steelhead,wild,2014,3,"1,281",13,1.01
Steelhead,wild,2006,4,315,2,0.63
Steelhead,wild,2007,4,472,5,1.06
Steelhead,wild,2008,4,655,14,2.14
Steelhead,wild,2009,4,"1,004",20,1.99
Steelhead,wild,2010,4,"1,038",20,1.93
Steelhead,wild,2011,4,783,5,0.64
Steelhead,wild,2012,4,935,7,0.75
Steelhead,wild,2013,4,753,9,1.2
Steelhead,wild,2014,4,937,6,0.64
